name,platform,year,genre,publisher,na,eu,jp,other,global_sales,label
DanceDanceRevolution,18,2010,10,282,0.12,0.05,0,0.02,0.2,0
Cabela's Big Game Hunter (2008),17,2007,11,19,0.1,0.08,0,0.03,0.2,0
Grandia II,4,2000,8,532,0,0,0.2,0,0.2,0
Namco Museum Vol.4,16,1996,4,464,0.02,0.01,0.16,0.01,0.2,0
The Cheetah Girls: Passport to Stardom,5,2008,4,126,0.18,0,0,0.01,0.2,0
UFC Personal Trainer: The Ultimate Fitness System,26,2011,11,514,0.12,0.06,0,0.02,0.2,0
How to Train Your Dragon 2,29,2014,2,293,0.05,0.13,0,0.02,0.2,0
Shark Tale,30,2004,1,17,0.15,0.04,0,0.01,0.2,0
NFL Street 2,8,2004,11,139,0.15,0.04,0,0.01,0.2,0
Pro Yaky? Spirits 2013,20,2013,11,282,0,0,0.2,0,0.2,0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,17,2005,1,282,0.1,0.08,0,0.03,0.2,0
My Secret World by Imagine,5,2008,4,532,0,0.2,0,0,0.2,0
Soldier of Fortune: Payback,29,2007,9,17,0.18,0.01,0,0.01,0.2,0
Ridge Racer,21,2011,7,351,0.04,0.08,0.05,0.03,0.2,0
Bleach: The 3rd Phantom,5,2008,8,452,0.1,0.02,0.07,0.01,0.2,0
Gladius,17,2003,12,17,0.1,0.08,0,0.03,0.2,0
Family Feud: 2012 Edition,26,2011,4,532,0.19,0,0,0.01,0.2,0
Dave Mirra Freestyle BMX 2,30,2001,11,13,0.15,0.04,0,0.01,0.2,0
Spore Hero Arena,5,2009,10,139,0.18,0,0,0.01,0.2,0
Pro Yaky? Spirits 2012,20,2012,11,282,0,0,0.2,0,0.2,0
Puzzle & Dragons X: God Chapter / Dragon Chapter,3,2016,1,210,0,0,0.2,0,0.2,0
SpongeBob SquarePants: Revenge of the Flying Dutchman,8,2002,5,514,0.15,0.04,0,0.01,0.2,0
Record of Agarest War,29,2008,8,98,0.18,0,0.01,0.01,0.2,0
Baja: Edge of Control,29,2008,7,514,0.12,0.06,0,0.02,0.2,0
Sid Meier's Pirates!,20,2007,12,498,0.16,0.01,0,0.02,0.2,0
Taiko no Tatsujin: Go! Go! Godaime,17,2004,4,351,0,0,0.2,0,0.2,0
Taiko Drum Master,17,2004,4,351,0.1,0.08,0,0.03,0.2,0
High School Musical 3: Senior Year DANCE!,29,2008,4,126,0.18,0,0,0.01,0.2,0
Harry Potter and the Goblet of Fire,20,2005,1,139,0.17,0.01,0,0.02,0.2,0
Bust-A-Move 2 Arcade Edition,16,1995,6,13,0.11,0.07,0,0.01,0.2,0
South Park: The Stick of Truth,14,2014,8,532,0.07,0.1,0,0.02,0.2,0
Tom Clancy's Splinter Cell: Essentials,20,2006,9,532,0.17,0.01,0,0.02,0.2,0
Tetris Worlds (Online Edition),30,2003,6,514,0.15,0.04,0,0.01,0.2,0
Armored Core 4,18,2006,10,7,0.09,0,0.09,0.01,0.2,0
Sleeping Dogs,31,2014,1,474,0.1,0.09,0,0.02,0.2,0
Forgotten Realms: Demon Stone,17,2004,1,54,0.1,0.08,0,0.03,0.2,0
Super Baseball Simulator 1.000,24,1991,11,107,0,0,0.2,0,0.2,0
Barbie Horse Adventures: Riding Camp,26,2008,11,17,0.18,0,0,0.01,0.2,0
Resident Evil: Revelations,27,2013,1,82,0.07,0.08,0.03,0.01,0.2,0
Go Play: Lumberjacks,26,2009,10,300,0.18,0,0,0.01,0.2,0
Looney Tunes: Space Race,17,2002,7,246,0.1,0.08,0,0.03,0.2,0
Puzzle Challenge: Crosswords and More!,20,2006,6,102,0.18,0,0,0.01,0.2,0
NASCAR Unleashed,26,2011,7,17,0.18,0,0,0.01,0.2,0
Backyard Hockey,7,2003,11,54,0.14,0.05,0,0,0.2,0
Playboy: The Mansion,17,2005,10,532,0.1,0.08,0,0.03,0.2,0
Jikkyou Powerful Pro Yakyuu 2010,20,2010,11,282,0,0,0.2,0,0.2,0
Shiren the Wanderer,26,2008,8,452,0.08,0,0.11,0.01,0.2,0
Ore no Shikabane o Koete Yuke,20,2011,8,464,0,0,0.2,0,0.2,0
Shaman King: Spirit of Shamans,16,2002,1,351,0,0,0.18,0.01,0.2,0
Tiger Woods PGA Tour 06,20,2005,11,139,0.18,0,0,0.01,0.2,0
Conan,29,2007,1,514,0.16,0.02,0,0.02,0.2,0
Ratatouille,7,2007,1,514,0.14,0.05,0,0,0.2,0
The Fairly Odd Parents: Enter the Cleft,7,2002,5,514,0.14,0.05,0,0,0.2,0
Warriors Orochi,29,2007,1,506,0.17,0.01,0,0.02,0.2,0
MC Groovz Dance Craze,8,2004,4,297,0.15,0.04,0,0.01,0.2,0
The Thing,30,2002,2,554,0.15,0.04,0,0.01,0.2,0
Tom and Jerry in House Trap,16,2000,1,532,0.11,0.07,0,0.01,0.2,0
Power Rangers: Time Force,7,2001,1,514,0.14,0.05,0,0,0.2,0
101-in-1 Explosive Megamix,5,2008,6,375,0.05,0.13,0,0.02,0.2,0
X-Men Origins: Wolverine,5,2009,1,17,0.15,0.03,0,0.02,0.2,0
Jikkyou Powerful Pro Yakyuu 2011,20,2011,11,282,0,0,0.2,0,0.2,0
DS Kageyama Method: Dennou Hanpuku - Masu x Masu Hyaku Masu Keisan,5,2006,4,455,0,0,0.2,0,0.2,0
Baldur's Gate: Dark Alliance,30,2002,8,551,0.15,0.04,0,0.01,0.2,0
Family Guy,20,2006,1,498,0.18,0,0,0.02,0.2,0
Prince of Persia: Warrior Within,8,2004,1,532,0.15,0.04,0,0.01,0.2,0
UFC: Tapout,30,2002,3,102,0.14,0.05,0,0.01,0.2,0
Aikatsu! Cinderella Lesson,3,2012,8,351,0,0,0.2,0,0.2,0
Marvel Super Hero Squad: Comic Combat,26,2011,1,514,0.15,0.03,0,0.01,0.2,0
Test Drive Unlimited 2,14,2009,7,54,0.05,0.11,0,0.03,0.2,0
Mega Man Legacy Collection,3,2016,5,82,0.13,0,0.05,0.02,0.2,0
Predator: Concrete Jungle,17,2005,1,554,0.1,0.07,0,0.03,0.2,0
Beyblade: Metal Fusion - Battle Fortress,26,2009,1,282,0.15,0,0.03,0.01,0.2,0
WipeOut 3 The Game,3,2012,1,17,0.18,0,0,0.01,0.2,0
Big Mutha Truckers 2,17,2005,7,566,0.1,0.07,0,0.03,0.2,0
Shutter Island,14,2009,2,322,0,0.17,0,0.03,0.2,0
The Naked Brothers Band: The Video Game,5,2008,4,514,0.18,0,0,0.01,0.2,0
Demon Gaze,21,2013,8,371,0.06,0.03,0.08,0.02,0.2,0
Zombie Army Trilogy,19,2015,9,430,0.04,0.12,0,0.03,0.2,0
NHL FaceOff 2001,17,2001,11,464,0.1,0.07,0,0.02,0.2,0
Mana Khemia 2: Fall of Alchemy,17,2008,8,211,0.07,0.05,0.05,0.02,0.2,0
The Great Escape,17,2003,1,448,0.1,0.07,0,0.02,0.2,0
Dexter's Lab Chess Challenge,7,2002,4,61,0.14,0.05,0,0,0.2,0
Nostalgia,5,2008,8,506,0.16,0,0.02,0.01,0.19,0
DiRT Showdown,18,2012,7,91,0.02,0.13,0,0.04,0.19,0
Iron Chef America: Supreme Cuisine,5,2008,10,121,0.18,0,0,0.01,0.19,0
Arcade Shooting Gallery,26,2008,9,576,0.18,0,0,0.01,0.19,0
The Rise of the Argonauts,18,2008,8,91,0.05,0.12,0,0.03,0.19,0
Big Mutha Truckers,30,2002,7,143,0.15,0.04,0,0.01,0.19,0
ESA Foundation Compilation,17,2005,4,464,0.1,0.07,0,0.02,0.19,0
The Hobbit,7,2003,5,554,0.14,0.05,0,0,0.19,0
The King of Fighters XI,17,2006,3,236,0.07,0.06,0.04,0.02,0.19,0
Ninja Gaiden 3,27,2012,1,368,0.15,0.03,0,0.02,0.19,0
Metro: Last Light,14,2013,1,119,0.06,0.11,0,0.02,0.19,0
Dragon Ball Z: Idainaru Dragon Ball Densetsu,16,1996,3,351,0,0,0.18,0.01,0.19,0
Silent Hill HD Collection,29,2012,1,282,0.11,0.06,0.01,0.02,0.19,0
Bound By Flame,19,2014,8,163,0.07,0.08,0,0.04,0.19,0
Conflict: Denied Ops,29,2008,9,138,0.08,0.09,0,0.02,0.19,0
Saw II: Flesh & Blood,18,2010,1,282,0.1,0.07,0,0.03,0.19,0
Ice Age: Dawn of the Dinosaurs,18,2009,1,17,0.13,0.04,0,0.02,0.19,0
Sniper Elite,17,2005,9,532,0.1,0.07,0,0.02,0.19,0
Arc Rise Fantasia,26,2009,8,305,0.13,0,0.06,0.01,0.19,0
"Ni Hao, Kai-lan: Super Game Day",26,2009,4,498,0.18,0,0,0.01,0.19,0
Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS,5,2005,1,452,0,0,0.19,0,0.19,0
Dynasty Warriors: Gundam 2,29,2008,1,351,0.07,0.03,0.08,0.01,0.19,0
Petz Pony: Beauty Pageant,5,2009,10,532,0.18,0,0,0.01,0.19,0
Parlor! Mini 4,24,1996,4,372,0,0,0.19,0,0.19,0
Breath of Fire II,7,2001,8,532,0.14,0.05,0,0,0.19,0
The Spiderwick Chronicles,26,2008,1,554,0.17,0.01,0,0.01,0.19,0
Danganronpa 2: Goodbye Despair,20,2012,4,470,0,0,0.19,0,0.19,0
Aliens vs Predator,14,2010,9,452,0,0.17,0,0.02,0.19,0
Ice Age 2: The Meltdown,8,2006,5,554,0.15,0.04,0,0.01,0.19,0
Steins;Gate,20,2011,2,269,0,0,0.19,0,0.19,0
Enchanted Arms,29,2006,8,532,0.16,0.02,0,0.02,0.19,0
Dinotopia: The Timestone Pirates,7,2002,1,501,0.14,0.05,0,0,0.19,0
Power Pro Kun Pocket 12,5,2009,11,282,0,0,0.19,0,0.19,0
J-League Jikkyou Winning Eleven 3,16,1997,11,282,0,0,0.18,0.01,0.19,0
The Sims 4: Get Together,14,2015,10,139,0.05,0.13,0,0.01,0.19,0
Jissen Pachi-Slot Hisshouhou,24,1993,4,445,0,0,0.19,0,0.19,0
Pac-Man & Galaga Dimensions,3,2011,4,351,0.1,0.04,0.04,0.01,0.19,0
Quantum Theory,18,2010,9,506,0.05,0.09,0.02,0.03,0.19,0
Manhunt,30,2004,1,498,0.14,0.04,0,0.01,0.19,0
NCAA Final Four 2003,17,2002,11,464,0.09,0.07,0,0.02,0.19,0
Air Conflicts: Secret Wars,18,2011,10,69,0.1,0.06,0,0.03,0.19,0
Rio,26,2011,4,514,0.14,0.04,0,0.01,0.19,0
Dream Salon,5,2009,4,575,0.18,0,0,0.01,0.19,0
Scene It? Twilight,5,2010,4,282,0.11,0.07,0,0.02,0.19,0
Disgaea DS,5,2008,8,474,0.11,0.02,0.05,0.01,0.19,0
Peter Jackson's King Kong: The Official Game of the Movie,20,2005,1,532,0.16,0.01,0,0.02,0.19,0
Space Invaders Extreme 2,5,2009,9,474,0.17,0.01,0,0.01,0.19,0
X-Men Origins: Wolverine,20,2009,1,17,0.13,0.03,0,0.03,0.19,0
Great Phoenix Wright: Ace Attorney - Naruhodou Ryuunosuke no Bouken,3,2015,1,82,0,0,0.19,0,0.19,0
Mystery Tales of Time Travel,5,2010,6,166,0.01,0.16,0,0.02,0.19,0
J-League Excite Stage '96,24,1996,11,150,0,0,0.19,0,0.19,0
Risen,29,2009,8,119,0.07,0.11,0,0.01,0.19,0
Hidden Mysteries: Vampire Secrets,5,2010,2,52,0.06,0.11,0,0.02,0.19,0
New Love Plus,3,2012,10,282,0,0,0.19,0,0.19,0
Final Fantasy XI,29,2006,8,474,0.17,0.01,0,0.01,0.19,0
Breath of Fire: Dragon Quarter,17,2002,8,82,0.09,0.07,0,0.02,0.19,0
Jikkyou J-League Perfect Striker,11,1996,11,282,0,0,0.19,0,0.19,0
Dante's Inferno,20,2010,1,139,0.12,0.03,0.01,0.03,0.19,0
Shrek: Forever After,18,2010,5,17,0.16,0.02,0,0.02,0.19,0
Rock Band Country Track Pack,18,2009,4,345,0.18,0,0,0.01,0.19,0
Super Robot Taisen: Scramble Commander,17,2003,12,62,0,0,0.19,0,0.19,0
Re-Volt,16,1998,7,13,0.11,0.07,0,0.01,0.19,0
Conception II: Children of the Seven Stars,21,2013,8,449,0.13,0,0.04,0.02,0.19,0
Descent,16,1996,9,251,0.11,0.07,0,0.01,0.19,0
Supreme Commander 2,14,2010,12,474,0,0.15,0,0.04,0.19,0
DanceMasters,29,2010,4,282,0.15,0.02,0.02,0.01,0.19,0
50 Cent: Blood on the Sand,18,2009,9,514,0.1,0.06,0.01,0.03,0.19,0
Disney's Magical Mirror Starring Mickey Mouse,8,2002,2,368,0.15,0.04,0,0.01,0.19,0
Need for Speed: The Run,3,2011,1,139,0.09,0.09,0,0.02,0.19,0
Jeep Thrills,26,2008,7,575,0.18,0,0,0.01,0.19,0
Conflict: Denied Ops,18,2008,9,138,0.05,0.1,0,0.03,0.19,0
FaceBreaker,29,2008,3,139,0.15,0.02,0,0.02,0.19,0
Major League Baseball 2K12,18,2012,11,498,0.18,0,0,0.01,0.19,0
Might & Magic: Clash of Heroes,5,2009,8,532,0.16,0.02,0,0.01,0.19,0
Avatar: The Last Airbender - Into the Inferno,26,2008,2,514,0.17,0.01,0,0.01,0.19,0
IHRA Professional Drag Racing 2005,17,2004,7,65,0.09,0.07,0,0.02,0.19,0
Mace Griffin: Bounty Hunter,17,2003,9,139,0.09,0.07,0,0.02,0.19,0
Legacy of Kain: Defiance,30,2003,1,138,0.14,0.04,0,0.01,0.19,0
Story of Seasons: Good Friends of the Three Villages,3,2016,10,305,0,0,0.19,0,0.19,0
Chaotic: Shadow Warriors,26,2009,1,17,0.18,0,0,0.01,0.19,0
Majin and the Forsaken Kingdom,29,2010,2,351,0.14,0.03,0,0.01,0.19,0
Trivial Pursuit unhinged,17,2004,4,54,0.09,0.07,0,0.02,0.19,0
Tales of the World: Narikiri Dungeon 2,7,2002,8,351,0,0,0.19,0,0.19,0
Spider-Man: Shattered Dimensions,5,2010,1,17,0.17,0.01,0,0.01,0.19,0
Aliens versus Predator: Extinction,17,2003,12,139,0.09,0.07,0,0.02,0.19,0
Plants vs. Zombies,18,2011,12,415,0.18,0,0,0.01,0.19,0
NBA Live 14,31,2013,11,139,0.16,0.02,0,0.01,0.19,0
Silent Scope 2: Dark Silhouette,17,2001,9,282,0.09,0.07,0,0.02,0.19,0
Dave Mirra Freestyle BMX 2,7,2001,11,13,0.14,0.05,0,0,0.19,0
Jikkyou Powerful Pro Yakyuu '96 Kaimakuban,24,1996,11,282,0,0,0.19,0,0.19,0
Tokimeki Memorial Girl's Side 3rd Story,5,2010,2,282,0,0,0.19,0,0.19,0
NHL Hitz Pro,17,2003,11,330,0.09,0.07,0,0.02,0.19,0
Tom Clancy's Splinter Cell: Blacklist,14,2013,1,532,0.04,0.13,0,0.03,0.19,0
Allied General,16,1996,12,476,0.11,0.07,0,0.01,0.19,0
Fire ProWrestling G,16,1999,3,229,0,0,0.18,0.01,0.19,0
Kamen Rider: Battride War,18,2013,1,351,0,0,0.19,0,0.19,0
Binary Domain,29,2012,1,452,0.09,0.07,0.02,0.02,0.19,0
IL-2 Sturmovik: Birds of Prey,20,2009,10,7,0.08,0.07,0,0.04,0.19,0
Farming Simulator 2015,31,2015,10,280,0.1,0.07,0,0.02,0.19,0
Armored Core: For Answer,18,2008,10,532,0.06,0.02,0.1,0.01,0.19,0
Mahjong: Journey Quest for Tikal,5,2008,6,442,0.15,0.03,0,0.01,0.19,0
uDraw Studio: Instant Artist,26,2011,4,514,0.08,0.09,0,0.02,0.19,0
Naruto: Ninja Destiny,5,2006,3,351,0.02,0.01,0.16,0,0.19,0
GunGriffon,22,1995,10,452,0,0,0.19,0,0.19,0
SingStar Pop Vol.2,17,2008,4,464,0.09,0.07,0,0.02,0.19,0
SNK Arcade Classics Vol. 1,17,2008,4,236,0.09,0.07,0,0.02,0.19,0
Darkstalkers 3,16,1998,3,82,0.11,0.07,0,0.01,0.19,0
SpongeBob's Surf & Skate Roadtrip,29,2011,1,514,0.15,0.03,0,0.01,0.19,0
Frequency,17,2001,4,464,0.09,0.07,0,0.02,0.19,0
Death Jr.,20,2005,5,282,0.17,0,0,0.01,0.19,0
Cars: Race-O-Rama,18,2009,7,514,0.14,0.03,0,0.02,0.19,0
Inazuma Eleven Strikers 2012 Xtreme,26,2011,8,288,0,0,0.19,0,0.19,0
The Polar Express,7,2004,2,514,0.14,0.05,0,0,0.19,0
2002 FIFA World Cup,30,2002,11,139,0.14,0.04,0,0.01,0.19,0
Kan Colle Kai,21,2016,1,268,0,0,0.19,0,0.19,0
SpongeBob SquigglePants 3D,3,2011,4,514,0.13,0.05,0,0.02,0.19,0
Jampack: Summer 2003 (RP-T),17,2003,4,464,0.09,0.07,0,0.02,0.19,0
Need for Speed: Shift 2 Unleashed,14,2011,7,139,0.05,0.11,0,0.03,0.19,0
Monster 4x4: Stunt Racer,26,2009,7,532,0.18,0,0,0.01,0.19,0
Frogger's Adventures 2: The Lost Wand,7,2002,2,282,0.14,0.05,0,0,0.19,0
Sudeki,30,2004,8,328,0.14,0.04,0,0.01,0.19,0
Rango: The Video Game,18,2011,1,139,0.07,0.09,0,0.04,0.19,0
The Amazing Spider-Man (Console Version),3,2012,1,17,0.15,0.03,0,0.01,0.19,0
"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",20,2009,2,464,0,0,0.19,0,0.19,0
Hyperdevotion Noire: Goddess Black Heart,21,2014,8,233,0.08,0.02,0.06,0.03,0.19,0
Hexen,11,1996,9,209,0.15,0.04,0,0,0.19,0
Mace: The Dark Age,11,1997,3,209,0.15,0.04,0,0,0.19,0
AeroFighters Assault,11,1997,1,548,0.15,0.04,0,0,0.19,0
Puyo Puyo Sun 64,11,1997,6,97,0,0,0.16,0.03,0.19,0
Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),11,1996,11,243,0,0,0.19,0,0.19,0
Quake,11,1998,9,209,0.15,0.04,0,0,0.19,0
Sesame Street: Elmo's Number Journey,11,1999,4,364,0.15,0.04,0,0,0.19,0
Disney Magic World 2,3,2015,1,368,0,0,0.19,0,0.19,0
Squeeballs Party,26,2009,6,399,0.18,0,0,0.01,0.19,0
Tottadoo! Yoiko no Mujintou Seikatsu,5,2008,2,351,0,0,0.19,0,0.19,0
Where's Waldo? The Fantastic Journey,26,2009,2,532,0.18,0,0,0.01,0.19,0
Family Game Night 4: The Game Show,26,2011,4,139,0.13,0.04,0,0.01,0.19,0
Teenage Mutant Ninja Turtles 2: Battle Nexus,8,2004,1,282,0.15,0.04,0,0.01,0.19,0
Saints Row IV,14,2013,1,119,0.11,0.06,0,0.02,0.19,0
Fighter Within,31,2013,3,532,0.11,0.07,0,0.02,0.19,0
Barbie Horse Adventures: Riding Camp,17,2008,11,17,0.09,0.07,0,0.02,0.19,0
SSX Tricky,7,2002,11,139,0.14,0.05,0,0,0.19,0
Kenka Banchou 4: Ichinen Sensou,20,2010,1,470,0,0,0.19,0,0.19,0
Warhammer: Shadow of the Horned Rat,16,1996,12,335,0.11,0.07,0,0.01,0.19,0
Shadows of the Damned,29,2011,1,139,0.1,0.06,0.01,0.02,0.19,0
NBA 2K11,14,2010,1,498,0.18,0,0,0.01,0.19,0
Pro Yakyuu Team o Tsukurou!,5,2008,11,452,0,0,0.19,0,0.19,0
Warriors: Legends of Troy,18,2011,1,506,0.06,0.05,0.07,0.02,0.19,0
Jeopardy!,5,2010,4,514,0.18,0,0,0.01,0.19,0
ESPN International Track & Field,17,2000,11,282,0.09,0.07,0,0.02,0.19,0
Lunar Legend,7,2002,8,316,0.14,0.05,0,0,0.19,0
Conflict: Global Terror,17,2005,9,138,0.09,0.07,0,0.02,0.19,0
Valhalla Knights 3,21,2013,8,568,0.04,0.01,0.12,0.01,0.19,0
Tamagotchi Party On!,26,2006,4,351,0.12,0,0.06,0.01,0.19,0
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 5: CR Shinseiki Evangelion * Pachi-Slot Shinseiki Evangelion,17,2006,4,111,0,0,0.19,0,0.19,0
Brunswick Pro Bowling,18,2010,11,7,0.1,0.06,0,0.03,0.19,0
Shaun White Skateboarding,18,2010,11,532,0.11,0.05,0,0.03,0.19,0
Hulk,8,2003,1,539,0.15,0.04,0,0.01,0.19,0
The Heavy Rain and Beyond: Two Souls Collection,19,2016,1,464,0,0.16,0,0.03,0.19,0
Cabela's Survival: Shadows of Katmai,18,2011,11,17,0.11,0.05,0,0.03,0.19,0
Shaun White Skateboarding,26,2010,11,532,0.14,0.03,0,0.01,0.19,0
Boogie,17,2007,4,139,0.09,0.07,0,0.02,0.19,0
Gungrave,17,2002,9,17,0.09,0.07,0,0.02,0.19,0
Phantasy Star Universe,17,2006,8,452,0,0,0.19,0,0.19,0
Transworld Surf,17,2002,11,54,0.09,0.07,0,0.02,0.19,0
God Eater Resurrection,21,2015,1,351,0,0,0.19,0,0.19,0
Tenchu: Fatal Shadows,17,2004,1,452,0.09,0.07,0,0.02,0.19,0
Active Health with Carol Vorderman,5,2009,11,368,0,0.18,0,0.01,0.19,0
Escape The Museum,5,2010,2,52,0.05,0.12,0,0.02,0.19,0
The Legend of Spyro: A New Beginning,8,2006,5,554,0.15,0.04,0,0.01,0.19,0
International Soccer,1,1981,11,309,0.18,0.01,0,0,0.19,0
Sing4: The Hits Edition,26,2011,4,102,0.18,0,0,0.01,0.19,0
Jewel Master: Cradle of Athena,5,2010,6,481,0.18,0,0,0.01,0.19,0
Princess Maker: Yumemiru Yosei,16,1997,12,464,0,0,0.18,0.01,0.19,0
Pet Zombies,3,2013,10,300,0.18,0,0,0.01,0.19,0
Big Air,16,1999,11,14,0.1,0.07,0,0.01,0.19,0
Shining Force II,9,1993,12,452,0,0,0.19,0,0.19,0
Gallop Racer,16,1999,11,506,0,0,0.18,0.01,0.19,0
Harry Potter and the Prisoner of Azkaban,30,2004,1,139,0.14,0.04,0,0.01,0.19,0
NASCAR Unleashed,3,2011,7,17,0.18,0,0,0.01,0.19,0
3rd Super Robot Wars Z Jigoku Hen,21,2014,8,351,0,0,0.19,0,0.19,0
Sudoku Gridmaster (JP sales),5,2006,6,368,0,0,0.19,0,0.19,0
Dynasty Warriors Gundam,29,2007,1,351,0.15,0.01,0.02,0.01,0.19,0
Taiko no Tatsujin: Wii U Version!,27,2013,4,351,0,0,0.19,0,0.19,0
Monsters vs. Aliens,17,2009,1,17,0.11,0,0,0.08,0.19,0
CSI: Fatal Conspiracy,18,2010,2,532,0.11,0.05,0,0.02,0.19,0
College Slam,16,1995,11,13,0.1,0.07,0,0.01,0.19,0
Arcania: Gothic 4,14,2010,8,265,0.09,0.08,0,0.02,0.19,0
Mushroom Men: The Spore Wars,26,2008,1,469,0.17,0.01,0,0.01,0.19,0
Zumba Fitness Rush,29,2012,11,7,0,0.16,0,0.02,0.19,0
Pro Yaky? Spirits 4,17,2007,11,282,0,0,0.19,0,0.19,0
Pictionary,5,2010,6,514,0.1,0.07,0,0.02,0.19,0
SoulCalibur Legends,26,2007,1,351,0.16,0.01,0,0.01,0.19,0
Daigasso! Band Brothers,5,2004,4,368,0,0,0.19,0,0.19,0
Rise of the Kasai,17,2005,1,464,0.09,0.07,0,0.02,0.19,0
Thoroughbred Breeder,24,1993,10,221,0,0,0.19,0,0.19,0
F1 2011,14,2011,7,91,0,0.15,0,0.04,0.19,0
Momotarou Dentetsu World,5,2010,4,228,0,0,0.19,0,0.19,0
Nobunaga no Yabou: Souzou,18,2013,12,506,0,0,0.19,0,0.19,0
Doctor Who: Return to Earth,26,2010,2,53,0,0.16,0,0.02,0.19,0
The Munchables,26,2009,1,351,0.17,0,0,0.01,0.19,0
We Dance,26,2011,4,376,0,0.17,0,0.02,0.19,0
Chibi-Robo! Park Patrol,5,2007,2,999,0,0,0.19,0,0.19,0
Bolt,18,2008,2,126,0.12,0.05,0,0.02,0.19,0
Singstar: Ultimate Party,19,2014,4,466,0,0.16,0,0.03,0.19,0
Mathews Bowhunting,26,2010,11,576,0.18,0,0,0.01,0.19,0
3rd Super Robot Wars Z: Tengoku-Hen,21,2015,1,351,0,0,0.19,0,0.19,0
One Piece: Unlimited Adventure,26,2007,2,351,0.07,0,0.11,0.01,0.19,0
Remington Super Slam Hunting: North America,26,2010,11,308,0.18,0,0,0.01,0.19,0
Crash & Spyro Superpack,7,2005,5,554,0.13,0.05,0,0,0.19,0
Earth Defense Force: Insect Armageddon,29,2011,9,111,0.1,0.05,0.03,0.01,0.19,0
Face Training,5,2007,4,368,0,0,0.19,0,0.19,0
Star Trek: Legacy,29,2010,10,532,0.14,0.03,0,0.02,0.19,0
ThunderStrike 2,16,1994,10,100,0.1,0.07,0,0.01,0.19,0
Disney's Meet the Robinsons,26,2007,1,126,0.17,0,0,0.01,0.19,0
Call of Duty: World at War,14,2008,9,17,0.02,0.13,0,0.03,0.19,0
Pro Yaky? Spirits 2012,18,2012,11,282,0,0,0.19,0,0.19,0
Kuma-Tomo,3,2013,4,351,0,0,0.19,0,0.19,0
Super Real Mahjong P V,22,1995,4,453,0,0,0.19,0,0.19,0
Thomas the Tank Engine & Friends,7,2004,2,999,0.13,0.05,0,0,0.19,0
Grand Slam Tennis 2,29,2012,11,139,0.1,0.07,0,0.02,0.19,0
Penguin no Mondai X: Tenkuu no 7 Senshi,5,2009,1,282,0,0,0.19,0,0.19,0
The Scorpion King: Sword of Osiris,7,2002,1,554,0.13,0.05,0,0,0.19,0
Bubsy 3D,16,1996,5,14,0.1,0.07,0,0.01,0.19,0
Reel Fishing Paradise 3D,3,2011,11,305,0.12,0,0.06,0.01,0.19,0
NCAA Final Four 2001,17,2000,11,464,0.09,0.07,0,0.02,0.19,0
Farmtopia,5,2010,10,7,0.18,0,0,0.01,0.19,0
Robin Hood: Defender of the Crown,17,2003,12,82,0.09,0.07,0,0.02,0.19,0
SD Gundam GX,24,1994,12,351,0,0,0.19,0,0.19,0
R-Type Final,17,2003,9,323,0.09,0.07,0,0.02,0.19,0
Jackie Chan Adventures: Legend of the Dark Hand,7,2001,1,17,0.13,0.05,0,0,0.19,0
MotoGP,26,2009,7,82,0.05,0.11,0,0.02,0.19,0
Sega GT 2002,30,2002,7,452,0.12,0.03,0.03,0.01,0.19,0
Ty the Tasmanian Tiger 3: Night of the Quinkan,17,2005,1,17,0.09,0.07,0,0.02,0.19,0
WWE SmackDown vs. Raw 2009,5,2008,3,514,0.15,0.02,0,0.01,0.19,0
Pro Evolution Soccer 2014,3,2013,1,282,0,0,0.19,0,0.19,0
Samurai Warriors 2: Empires,17,2006,1,506,0,0,0.19,0,0.19,0
Blood Omen 2,30,2002,1,138,0.14,0.04,0,0.01,0.19,0
Jurassic: The Hunted,18,2009,9,17,0.17,0,0,0.02,0.19,0
J-League Pro Soccer Club o Tsukurou! 5,17,2007,11,452,0,0,0.19,0,0.19,0
Harry Potter: Quidditch World Cup,30,2003,11,139,0.14,0.04,0,0.01,0.19,0
Dance Central: Spotlight,31,2014,4,328,0.15,0.03,0,0,0.19,0
Little Battlers eXperience W,20,2012,8,288,0,0,0.19,0,0.19,0
Magical Starsign (US sales),5,2006,8,368,0.16,0.03,0,0,0.19,0
Tekken Tag Tournament 2,27,2012,3,351,0.09,0.07,0.01,0.01,0.19,0
Hot Wheels: Battle Force 5,26,2009,7,17,0.17,0,0,0.01,0.19,0
Dragon Blade: Wrath of Fire,26,2007,1,111,0.17,0,0,0.01,0.19,0
La Pucelle: Tactics,17,2002,8,506,0.09,0.07,0,0.02,0.19,0
Phantasy Star Nova,21,2014,8,452,0,0,0.19,0,0.19,0
SBK X: Superbike World Championship,29,2010,7,70,0.1,0.07,0,0.02,0.19,0
Samurai Warriors: State of War,20,2005,1,506,0.07,0,0.11,0.01,0.19,0
